s_Id,filename,happen_Dt,happen_Place,kind_Cd,color_Cd,age,weight,notice_No,notice_Sdt,notice_Edt,popfile,process_State,sex_Cd,neuter_Yn,special_Mark,care_Nm,care_Tel,care_Addr,org_Nm,org_Nm_C,officetel
11,http://www.animal.go.kr/files/shelter/2024/04/202405141505831_s.jpg,20240512,교문사거리,[개] 토이 푸들,갈색,2014(년생),3.5(Kg),경기-구리-2024-00045,20240514,20240524,http://www.animal.go.kr/files/shelter/2024/04/202405141505831.jpg,보호중,F,N,"치석이 심함, 피부 각질 있음",구리반려동물문화센터,031-566-0059,경기도 구리시 동구릉로136번길 57 (인창동) 2층,경기도,구리시,031-550-2321
12,http://www.animal.go.kr/files/shelter/2024/04/202405131005439_s.jpg,20240512,김해시 구지로124번길 18,[개] 라브라도 리트리버,"검정,흰색",2023(년생),7(Kg),경남-김해-2024-00408,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/202405131005439.png,보호중,F,U,김해시-399,유기동물및관리협회,051-971-6208,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) (사)유기동물및보호관리협회,경상남도,김해시,055-350-4134
13,http://www.animal.go.kr/files/shelter/2024/04/202405131005894_s.jpg,20240512,김해시 구지로124번길 18,[개] 라브라도 리트리버,연갈색,2023(년생),7(Kg),경남-김해-2024-00407,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/202405131005894.png,보호중,F,U,김해시-398,유기동물및관리협회,051-971-6208,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) (사)유기동물및보호관리협회,경상남도,김해시,055-350-4134
14,http://www.animal.go.kr/files/shelter/2024/04/202405131105706_s.jpg,20240512,모전119안전센터,[개] 믹스견,검정.흰색,2019(년생),21(Kg),경북-문경-2024-00150,20240513,20240520,http://www.animal.go.kr/files/shelter/2024/04/202405131105706.jpg,보호중,F,N,"군하며 오는쪽 뒷다리 절음,보드콜리믹스견",종합축산,054-552-2233,경상북도 문경시 중앙로 170 (흥덕동) 종합축산,경상북도,문경시,054-550-6282
15,http://www.animal.go.kr/files/shelter/2024/04/202405132105136_s.jpg,20240512,나주시 산포면 덕례리 하천뚝방,[개] 믹스견,갈색,2024(60일미만)(년생),2(Kg),전남-나주-2024-00603,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/202405132105136.jpg,보호중,M,N,생후2개월정도보임,나주유기동물보호센터,010-2331-7377,전라남도 나주시 산포면 내기3길 71-43 [*미고시] ,전라남도,나주시,061-339-7692
16,http://www.animal.go.kr/files/shelter/2024/04/202405132105662[1]_s.jpg,20240512,나주시 산포면 덕례리하천뚝방,[개] 믹스견,갈색,2024(60일미만)(년생),2(Kg),전남-나주-2024-00602,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/202405132105662[1].jpg,보호중,M,N,생후2개월정도보임,나주유기동물보호센터,010-2331-7377,전라남도 나주시 산포면 내기3길 71-43 [*미고시] ,전라남도,나주시,061-339-7692
17,http://www.animal.go.kr/files/shelter/2024/04/202405132105938_s.jpg,20240512,나주시 산포면 덕례리하천뚝방,[개] 믹스견,흰색,2024(60일미만)(년생),2(Kg),전남-나주-2024-00601,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/202405132105938.jpg,보호중,M,N,생후2개월정도보임,나주유기동물보호센터,010-2331-7377,전라남도 나주시 산포면 내기3길 71-43 [*미고시] ,전라남도,나주시,061-339-7692
18,http://www.animal.go.kr/files/shelter/2024/04/202405132105187_s.jpg,20240512,나주시 산포면 덕례리하천뚝방,[개] 믹스견,갈색,2024(60일미만)(년생),2(Kg),전남-나주-2024-00600,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/202405132105187.jpg,보호중,F,N,생후2개월정도보임,나주유기동물보호센터,010-2331-7377,전라남도 나주시 산포면 내기3길 71-43 [*미고시] ,전라남도,나주시,061-339-7692
19,http://www.animal.go.kr/files/shelter/2024/04/202405132105875_s.jpg,20240512,나주시 영산로5122 광목산장,[개] 믹스견,흰색,2019(년생),18(Kg),전남-나주-2024-00599,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/202405132105875.jpg,보호중,F,N,포획틀에구조,나주유기동물보호센터,010-2331-7377,전라남도 나주시 산포면 내기3길 71-43 [*미고시] ,전라남도,나주시,061-339-7692
20,http://www.animal.go.kr/files/shelter/2024/04/202405122105213_s.jpg,20240512,익산시황등면월성길10,[개] 믹스견,호피색,2023(년생),13(Kg),전북-익산-2024-00613,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/202405122105213.jpg,보호중,F,N,많이말라있고 아파보임,익산유기동물보호소,063-855-1214,전북특별자치도 익산시 서동로42길 77 (용제동) 16통 1반,전북특별자치도,익산시,063-859-5769
21,http://www.animal.go.kr/files/shelter/2024/04/202405122105439_s.jpg,20240512,익산시황등면월성길10,[개] 믹스견,호피색,2023(년생),13(Kg),전북-익산-2024-00612,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/202405122105439.jpg,보호중,M,N,많이말라있고 아파보임,익산유기동물보호소,063-855-1214,전북특별자치도 익산시 서동로42길 77 (용제동) 16통 1반,전북특별자치도,익산시,063-859-5769
22,http://www.animal.go.kr/files/shelter/2024/04/202405122105165_s.jpg,20240512,익산시황등면동연리,[개] 믹스견,갈색,2023(년생),13(Kg),전북-익산-2024-00611,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/202405122105165.jpg,보호중,M,N,사나운편임,익산유기동물보호소,063-855-1214,전북특별자치도 익산시 서동로42길 77 (용제동) 16통 1반,전북특별자치도,익산시,063-859-5769
23,http://www.animal.go.kr/files/shelter/2024/04/202405131105179_s.jpg,20240512,구율3길 3,[개] 골든 리트리버,갈색,2022(년생),20(Kg),전북-군산-2024-00456,20240513,20240524,http://www.animal.go.kr/files/shelter/2024/04/202405131105179.jpg,보호중,F,N,순한편이고 매우 말랐음,군산유기동물보호센터,063-451-2975,전라북도 군산시 대야면 보덕안정길 108-20  ,전북특별자치도,군산시,063-454-3115
24,http://www.animal.go.kr/files/shelter/2024/04/202405121305424_s.jpg,20240512,신양. 황계리,[개] 믹스견,연갈색,2024(60일미만)(년생),2(Kg),충남-예산-2024-00245,20240513,20240521,http://www.animal.go.kr/files/shelter/2024/04/202405121305424.jpg,보호중,F,N,주인이 병원에 입원하여 주민 신고후 출동 구조함.,예산동물보호센터,010-5453-8043,충청남도 예산군 예산읍 아리랑로 236  지하1층,충청남도,예산군,041-339-7833
25,http://www.animal.go.kr/files/shelter/2024/04/202405121305659_s.jpg,20240512,신양. 황계리,[개] 믹스견,갈색,2024(60일미만)(년생),2(Kg),충남-예산-2024-00244,20240513,20240521,http://www.animal.go.kr/files/shelter/2024/04/202405121305659.jpg,보호중,M,N,주인이 병원에 입원하여 주민 신고후 출동 구조함.,예산동물보호센터,010-5453-8043,충청남도 예산군 예산읍 아리랑로 236  지하1층,충청남도,예산군,041-339-7833
26,http://www.animal.go.kr/files/shelter/2024/04/202405121305451_s.jpg,20240512,신양. 황계리,[개] 믹스견,흰색,2024(60일미만)(년생),2(Kg),충남-예산-2024-00243,20240513,20240521,http://www.animal.go.kr/files/shelter/2024/04/202405121305451.jpg,보호중,F,N,주인이 병원에 입원하여 주민 신고후 출동 구조함.,예산동물보호센터,010-5453-8043,충청남도 예산군 예산읍 아리랑로 236  지하1층,충청남도,예산군,041-339-7833
27,http://www.animal.go.kr/files/shelter/2024/04/20240512130555_s.jpg,20240512,신양. 황계리,[개] 믹스견,흰색,2024(60일미만)(년생),2(Kg),충남-예산-2024-00242,20240513,20240521,http://www.animal.go.kr/files/shelter/2024/04/20240512130555.jpg,보호중,M,N,주인이 병원에 입원하여 주민 신고후 출동 구조함.,예산동물보호센터,010-5453-8043,충청남도 예산군 예산읍 아리랑로 236  지하1층,충청남도,예산군,041-339-7833
28,http://www.animal.go.kr/files/shelter/2024/04/20240512130504_s.jpg,20240512,신양. 황계리,[개] 믹스견,연갈색,2024(60일미만)(년생),2(Kg),충남-예산-2024-00241,20240513,20240521,http://www.animal.go.kr/files/shelter/2024/04/20240512130504.jpg,보호중,M,N,주인이 병원에 입원하여 주민 신고후 출동 구조함.,예산동물보호센터,010-5453-8043,충청남도 예산군 예산읍 아리랑로 236  지하1층,충청남도,예산군,041-339-7833
29,http://www.animal.go.kr/files/shelter/2024/04/202405121305571_s.jpg,20240512,신양. 황계리,[개] 믹스견,갈색,2024(60일미만)(년생),2(Kg),충남-예산-2024-00240,20240513,20240521,http://www.animal.go.kr/files/shelter/2024/04/202405121305571.jpg,보호중,F,N,주인이 병원에 입원하여 주민 신고후 출동 구조함.,예산동물보호센터,010-5453-8043,충청남도 예산군 예산읍 아리랑로 236  지하1층,충청남도,예산군,041-339-7833
30,http://www.animal.go.kr/files/shelter/2024/04/202405131505772_s.jpg,20240512,홍성읍 낙협앞 노상,[개] 푸들,갈색,2020(년생),4(Kg),충남-홍성-2024-00213,20240513,20240520,http://www.animal.go.kr/files/shelter/2024/04/202405131505772.jpg,보호중,F,U,지구대 의뢰구조,금일동물보호센터,041-634-5400,충청남도 홍성군 홍동면 충절로 625 (홍동면) ,충청남도,홍성군,041-630-1771
31,http://www.animal.go.kr/files/shelter/2024/04/202405131405827_s.jpg,20240512,실옥사거리에서 시청방면,[개] 믹스견,"검,흰",2014(년생),11(Kg),충남-아산-2024-00383,20240513,20240522,http://www.animal.go.kr/files/shelter/2024/04/202405131405827.jpg,종료(안락사),F,U,"1453호(관리) 383호(공고), 교통사고, 기립불능, 양 후지 신경 반응없음",아산동물복지지원센터,041-530-6200,충청남도 아산시 환경공원로 158 (배미동) ,충청남도,아산시,041-530-6200
32,http://www.animal.go.kr/files/shelter/2024/04/202405130905817_s.jpg,20240512,동남구 병천면 충절로 160 한국기술대학교 인근,[개] 비숑 프리제,흰색,2016(년생),10(Kg),충남-천안-2024-00394,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/202405130905817.jpg,보호중,M,Y,"노란색 하네스를 착용한 채 구조 , 순하고 사람을 좋아함",천안시 동물보호센터,010-5913-5119,"충청남도 천안시 동남구 목천읍 충절로 577  문의전화 : 입양(010-5913-5119), 구조(010-4999-6119)",충청남도,천안시,041-521-5734
33,http://www.animal.go.kr/files/shelter/2024/04/202405132105109_s.jpg,20240512,일산공원,[개] 시바,갈색,2019(년생),8.5(Kg),강원-원주-2024-00225,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/202405132105109.jpg,종료(반환),M,N,목줄착용,원주유기동물보호센터,033-731-1119,강원도 원주시 호저면 칠봉로 110-6 ,강원특별자치도,원주시,033-737-4443
34,http://www.animal.go.kr/files/shelter/2024/04/202405131305901_s.jpg,20240512,군포시청에서 인수,[개] 포메라니안,백,2022(년생),3(Kg),경기-군포-2024-00041,20240513,20240527,http://www.animal.go.kr/files/shelter/2024/04/202405131305901.jpg,보호중,F,U,하늘색옷,한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50 (부곡동) ,경기도,군포시,031-390-0311
35,http://www.animal.go.kr/files/shelter/2024/04/20240513170569_s.jpg,20240512,화도 119 안전센터,[개] 닥스훈트,검정,2021(년생),9.1(Kg),경기-남양주-2024-00461,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/20240513170569.jpg,보호중,M,Y,"초록색 바탕에 빨간포인트가 들어간 목줄 착용, 귀쪽 피부병이 있음",남양주시동물보호센터,031-590-2785,경기도 남양주시 경강로163번길 32-27 (이패동) ,경기도,남양주시,031-590-2324
36,http://www.animal.go.kr/files/shelter/2024/04/202405121405403_s.jpg,20240512,용두동 765-2 부근,[개] 푸들,초코색,2021(년생),5(Kg),경기-고양-2024-00401,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/202405121405403.jpg,보호중,M,Y,갈색목줄착용,고양시동물보호센터,031-962-3232,"경기도 고양시 덕양구 고양대로 1695 (원흥동, 고양시 농업기술센터) 고양시동물보호센터",경기도,고양시,031-8075-4657
37,http://www.animal.go.kr/files/shelter/2024/04/202405131405522_s.jpg,20240512,호국로1162번길 73 직동근린공원 일대,[개] 믹스견,흰/연갈,2020(년생),9.6(Kg),경기-의정부-2024-00086,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/202405131405522.jpg,보호중,M,N,귀끝 연갈. 코분홍. 활발/친화적. 우후지 2/3번 발가락 가로10센티미터 정도 크기의 종양.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면) ,경기도,의정부시,031-828-4083
38,http://www.animal.go.kr/files/shelter/2024/04/20240513090545_s.jpg,20240512,팔달구 매산로126번길 10(매교동),[개] 스탠다드 푸들,흰색,2014(년생),24.00(Kg),경기-수원-2024-00259,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/20240513090545.jpg,종료(반환),M,Y,스탠다드 푸들,수원시 동물보호센터,031-228-3557,"경기도 수원시 영통구 광교호수로 234 (하동, 수원시 동물보호센터) 하동 40-10",경기도,수원시,031-228-3162
39,http://www.animal.go.kr/files/shelter/2024/04/202405130905879_s.jpg,20240512,팔달구 권광로 293(인계동),[개] 믹스견,갈색,2024(년생),9.50(Kg),경기-수원-2024-00257,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/202405130905879.jpg,종료(반환),M,N,내장형 무선식별장치 있음,수원시 동물보호센터,031-228-3557,"경기도 수원시 영통구 광교호수로 234 (하동, 수원시 동물보호센터) 하동 40-10",경기도,수원시,031-228-3162
40,http://www.animal.go.kr/files/shelter/2024/04/20240513190588_s.jpg,20240512,삼남읍 반구대로 591-16,[개] 말티즈,흰,2014(년생),3.2(Kg),울산-울주-2024-00320,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/20240513190588.jpg,보호중,F,U," 한 자리에서 계속 몸을 흔들거나 중심 못 잡고 비틀거림, 피부병",울산유기동물보호센터,052-238-6113,울산광역시 울주군 온양읍 발리 1144,울산광역시,울주군,052-204-1639
41,http://www.animal.go.kr/files/shelter/2024/04/202405130905675_s.jpg,20240512,버드내 중학교 앞유등천 인근,[개] 믹스견,"갈,백",2020(년생),6(Kg),대전-서구-2024-00141,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/202405130905675.jpg,종료(반환),F,U,주인반환,대전동물보호센터,042-825-1118,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전광역시,서구,042-288-2483
42,http://www.animal.go.kr/files/shelter/2024/04/202405122205976_s.jpg,20240512,계양구청 당직실(효성동 세사미아파트뒤),[개] 믹스견,갈색,2024(년생),6.0(Kg),인천-계양-2024-00155,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/202405122205976.jpg,보호중,M,N,포획트랩으로 포획,신영재동물병원,032-552-0075,인천광역시 계양구 장제로 923 (병방동) ,인천광역시,계양구,032-450-6844
43,http://www.animal.go.kr/files/shelter/2024/04/202405122205228_s.jpg,20240512,계산동 경인교대역,[개] 포메라니안,연갈색,2021(년생),5.0(Kg),인천-계양-2024-00157,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/202405122205228.jpg,보호중,M,N,"포메mix견,등부위 가위로 미용한 흔적있슴",신영재동물병원,032-552-0075,인천광역시 계양구 장제로 923 (병방동) ,인천광역시,계양구,032-450-6844
44,http://www.animal.go.kr/files/shelter/2024/04/202405130905842_s.jpg,20240512,미추홀구 용현동 612-8,[개] 믹스견,흰색,2024(년생),1(Kg),인천-미추홀-2024-00176,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/202405130905842.jpg,보호중,F,N,"3개월정도추정,겁많음",인천광역시수의사회,032-515-7567,"인천광역시 계양구 다남로165번길 56 (다남동, 유기동물보호소) ",인천광역시,미추홀구,032-880-4682
45,http://www.animal.go.kr/files/shelter/2024/04/202405130905889_s.jpg,20240512,미추홀구 103-28,[개] 비숑 프리제,흰색,2023(년생),8(Kg),인천-미추홀-2024-00175,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/202405130905889.jpg,종료(반환),M,Y,주인반환,인천광역시수의사회,032-515-7567,"인천광역시 계양구 다남로165번길 56 (다남동, 유기동물보호소) ",인천광역시,미추홀구,032-880-4682
46,http://www.animal.go.kr/files/shelter/2024/04/202405130905343_s.jpg,20240512,화원읍 동산맨션 인근,[개] 비숑 프리제,백색,2021(년생),7.00(Kg),대구-달성-2024-00265,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/202405130905343.jpg,종료(반환),F,U,등록칩 없음. 미용이 된 상태임. ,화원연합동물병원,053-634-7975,대구광역시 달성군 화원읍 사문진로 447 (화원읍) 화원읍 관할,대구광역시,달성군,053-668-3863
47,http://www.animal.go.kr/files/shelter/2024/04/202405131505986_s.jpg,20240512,감만파출소,[개] 믹스견,갈색,2006(년생),6.8(Kg),부산-남구-2024-00084,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/202405131505986.jpg,종료(반환),M,N,"동물등록 칩-(410.160.020.117.507), 주인 연락됨",(사)동부동물보호협회,051-701-7599,부산광역시 해운대구 송정동 85-1,부산광역시,남구,051-607-4481
48,http://www.animal.go.kr/files/shelter/2024/04/202405131405356_s.jpg,20240512,마천로 51길 8 세븐일레븐 마천최고점 인근,[개] 시바,갈/흰,2019(년생),9.8(Kg),서울-송파-2024-00045,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/202405131405356.jpg,종료(반환),M,Y,온순/얌전/사람좋아함. 꼬리단미안됨. 털상태 양호. 근육떨림 증상 있음. 칩있음.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면) ,서울특별시,송파구,02-2147-2830
49,http://www.animal.go.kr/files/shelter/2024/04/202405131405576[1]_s.jpg,20240512,잠실동 진달래공원 내,[개] 비숑 프리제,흰,2014(년생),7.7(Kg),서울-송파-2024-00044,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/202405131405576[1].jpg,종료(반환),M,Y,온순. 얌전. 친화적. 코가운데 갈색. 꼬리단미안됨. 털상태양호. ,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면) ,서울특별시,송파구,02-2147-2830
50,http://www.animal.go.kr/files/shelter/2024/04/202405131405905_s.jpg,20240512,도림로 182-1 인근,[개] 포메라니안,흰,2020(년생),2.7(Kg),서울-영등포-2024-00029,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/202405131405905.jpg,보호중,F,U,빨간목줄/갈색리드줄/검정자동리드줄기기. 눈곱. 코검정. 꼬리단미안됨. 털상태 양호. 부정교합. 발정.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 ,서울특별시,영등포구,02-2670-3419
51,http://www.animal.go.kr/files/shelter/2024/04/202405121905903_s.jpg,20240512,연남동 570-10 403호 문 앞,[개] 코카 스파니엘,갈색,2023(년생),8.56(Kg),서울-마포-2024-00081,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/202405121905903.jpg,보호중,F,U,"사람 좋아하고 잘따름, 중성화수술 안되어있는것으로 추정, 왼쪽눈 체리아이 있음",웰케어 동물병원,02-337-7575,"서울특별시 마포구 월드컵북로 27 (서교동, 이화빌딩) 서교동447-2",서울특별시,마포구,02-3153-8542
52,http://www.animal.go.kr/files/shelter/2024/04/202405131405180_s.jpg,20240512,도봉동 18-1 도봉산역 1번출구 인근,[개] 스피츠,흰,2018(년생),5.2(Kg),서울-도봉-2024-00052,20240513,20240523,http://www.animal.go.kr/files/shelter/2024/04/202405131405180.jpg,종료(반환),M,Y,코 팥죽색. 경계/예민/방어적입질. 꼬리단미안됨. 털상태 양호. 칩있음.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 상수리 410-1,서울특별시,도봉구,02-2091-4475
53,http://www.animal.go.kr/files/shelter/2024/04/202405121105749_s.jpg,20240512,의창구 봉곡동 43-1,[개] 푸들,실버+흰색,2019(년생),5(Kg),경남-창원1-2024-00206,20240512,20240522,http://www.animal.go.kr/files/shelter/2024/04/202405121105749.jpg,종료(반환),M,Y,24-5-1-14 인식표착용.써있는 전화번호로 연락해서 반환.,창원유기동물보호소,055-225-5701,"경상남도 창원시 의창구 창이대로 71 (명서동, 창원시농업기술센터) 축산과",경상남도,창원시,055-225-5701
54,http://www.animal.go.kr/files/shelter/2024/04/202405121105286_s.jpg,20240512,성산구 중앙동 62-7,[개] 믹스견,갈색+검정,2024(년생),4(Kg),경남-창원1-2024-00205,20240512,20240522,http://www.animal.go.kr/files/shelter/2024/04/202405121105286.jpg,종료(반환),M,N,24-5-1-13 3개월. 보호자분 오셔서 반환해가심.,창원유기동물보호소,055-225-5701,"경상남도 창원시 의창구 창이대로 71 (명서동, 창원시농업기술센터) 축산과",경상남도,창원시,055-225-5702
55,http://www.animal.go.kr/files/shelter/2024/04/202405121505987_s.jpg,20240512,하청면 실전리 524,[개] 믹스견,흰색,2022(년생),15(Kg),경남-거제-2024-00194,20240512,20240522,http://www.animal.go.kr/files/shelter/2024/04/202405121505987.jpg,종료(반환),M,N,목줄.리드줄착용,거제시유기동물보호소,055-639-6368,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소",경상남도,거제시,055-639-6366
56,http://www.animal.go.kr/files/shelter/2024/04/202405121605538_s.jpg,20240512,장천동,[개] 치와와,갈색+흰색,2018(년생),3(Kg),경남-창원3-2024-00106,20240512,20240522,http://www.animal.go.kr/files/shelter/2024/04/202405121605538.jpg,종료(반환),M,Y,"내장침 등록(동금이) 견주분게 연락함, 옷 입고 잇음",진해유기동물보호소,055-225-5701,경상남도 창원시 진해구 웅천로 218 (성내동) 도시농업과 부지 내,경상남도,창원시,055-225-5701
57,http://www.animal.go.kr/files/shelter/2024/04/202405121405563_s.jpg,20240512,사림동 48-9,[개] 포메라니안,흰색+갈색,2014(년생),4(Kg),경남-창원3-2024-00105,20240512,20240522,http://www.animal.go.kr/files/shelter/2024/04/202405121405563.jpg,종료(반환),F,Y,내장침 등록(별이) ,진해유기동물보호소,055-225-5701,경상남도 창원시 진해구 웅천로 218 (성내동) 도시농업과 부지 내,경상남도,창원시,055-225-5701
58,http://www.animal.go.kr/files/shelter/2024/04/202405121105331_s.jpg,20240512,진주시 수곡면 지대리,[개] 믹스견,흰색+갈색,2023(년생),7.9(Kg),경남-진주-2024-00239,20240512,20240522,http://www.animal.go.kr/files/shelter/2024/04/202405121105331.jpg,보호중,F,N,차분하고 순하며 양쪽귀 찐길색,진주시동물보호센터,055-749-6134,"경상남도 진주시 집현면 신당길207번길 22 (집현면, 지역농업개발시설) ",경상남도,진주시,055-749-6205
59,http://www.animal.go.kr/files/shelter/2024/04/202405121505427_s.jpg,20240512,합포동 행정복지센터,[개] 믹스견,연갈색,2022(년생),16(Kg),경남-창원2-2024-00126,20240512,20240522,http://www.animal.go.kr/files/shelter/2024/04/202405121505427.jpg,종료(반환),M,N,"목줄착용, 내장칩있음 이름: 타오 , 견주님 연락되서 집에갔음, 그만나와라~",마산유기동물보호소,055-225-5701,경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19,경상남도,창원시,055-225-5701
